Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install,14,1489,1112,7,127,377,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\apache,1,137,100,2,12,37,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\backup,1,34,22,0,1,12,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\data,2,92,67,0,8,25,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\service,1,99,68,0,4,31,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\template,8,266,185,0,5,81,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\template\sites,8,266,185,0,5,81,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\template\sites\example,7,253,174,0,5,79,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\template\sites\example\context,2,57,38,0,2,19,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\install\template\sites\example\modules,5,196,136,0,3,60,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\java,3,114,87,2,3,27,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\java\client_api,3,114,87,2,3,27,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\java\client_api\tactic,1,47,36,1,2,11,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\java\client_api\test,1,29,22,0,0,7,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\mako,20,5760,4863,71,801,897,17,0,23,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\mako\ext,5,355,293,6,45,62,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm,440,164456,117080,2654,16396,42856,43,4520,15881,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application,50,12400,6664,35,1202,2639,5,3097,11909,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\common,16,5971,2078,16,253,796,2,3097,11896,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\common\interpreter,7,3922,598,6,57,232,1,3092,11881,0,0
